term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.603174350382246,0.0870553652399055,14.724138109112914,4.511853102046508e-49,3.039724179509116,4.276114417239658
age_group20-29,0.6904625362737632,0.0570245935059874,-6.495330186006925,8.285149480562801e-11,0.6170332778649052,0.7716207717165113
age_group30-39,0.525475645575969,0.05608015106125358,-11.473782127959621,1.7867561082488476e-30,0.47044253814708153,0.5861302812788746
age_group40-49,0.44094090983261663,0.0568151446774108,-14.412431904758542,4.322191428363074e-47,0.39419949649218633,0.49255470500575294
age_group50-59,0.3864898863355791,0.05839472860921727,-16.279715673764816,1.3750633542262643e-59,0.34446561850483276,0.4330844557861697
age_group60-80,0.3671673765325552,0.059287774333856416,-16.89956284083485,4.532544193463068e-64,0.3266781045029038,0.41216076060617707
age_group>80,0.4096420820070723,0.09964020603116311,-8.956941246989713,3.3380945798513755e-19,0.33699447004337985,0.4980831993027869
education1,1.1559112834081968,0.061776803053088865,2.345362914362685,0.01900856725922876,1.0242031924419381,1.3048566717022643
education2,1.0913637344985774,0.05504385924456664,1.588334248257397,0.11221077699177698,0.9797574360932035,1.215712241594691
education3,1.0826697898487037,0.0465476245346562,1.7064247452734238,0.08792902663551816,0.9881939002078294,1.1860176782736054
education4,1.0665452119008547,0.05663251695445604,1.1375911627493671,0.25529123846780577,0.95450634265112555,1.1917791834488525
education5,1.054625880508431,0.061907831160934526,0.8591172943364397,0.39027580675043655,0.9341802384370668,1.1907759384238945
education6,1.1068769985889733,0.049645494374377035,2.0453524825752964,0.04082012001006531,1.0042063255965206,1.219958227479548
education7,1.1948031361080351,0.38126704927284877,0.4668156676358568,0.6406317653542885,0.5759454782269483,2.609786539182551
education8,0.9842773655394083,0.16468705740121653,-0.09622824252998026,0.9233393005983157,0.7143004280937514,1.3636988895293063
education9,0.12640115410819724,1.1268337596254907,-1.8354922800641384,0.06643278190215327,0.006403779046878617,0.87403869795671
stateBaja California,0.7406956819613808,0.08641738401765629,-3.4734379785359626,5.138361051076699e-4,0.6253151534819447,0.8774926781853574
stateBaja California Sur,0.9568719374803019,0.08777980973110945,-0.5022306752939639,0.6155052674984647,0.8058496189537868,1.1369002642861323
stateCampeche,0.6674560413377016,0.08696387202137053,-4.6488471264345215,3.3379548762461747e-6,0.5628400061274504,0.7915158928224266
stateChiapas,0.6778053952369454,0.08412262612418835,-4.622954344554972,3.7831301028475754e-6,0.5747341708063232,0.7992834030400398
stateChihuahua,0.7201954671745047,0.08107561330058627,-4.048475346253979,5.1552363257912056e-5,0.6143317332161384,0.8442038456678033
stateCiudad de Mexico,0.7005033596943195,0.07407164989458431,-4.805564849516078,1.543152076699827e-6,0.6056957306346522,0.8097858662878775
stateCoahuila de Zaragoza,0.9243028995988986,0.08018961533202645,-0.9816164763340993,0.32628882728170355,0.7898964933691944,1.0817008073523176
stateColima,0.7106645830598779,0.08117350852199821,-4.207711610503253,2.579697938212843e-5,0.6060731423084728,0.8331742450706323
stateDurango,0.8057553195952466,0.08060588783601254,-2.6793967793753284,0.007375493905343043,0.6879823548467559,0.9436746746685999
stateEstado de Mexico,0.7163054002696126,0.07412771872294147,-4.500997359976003,6.763534608075687e-6,0.6193015718397892,0.8281587690011781
stateGuanajuato,0.6948020308119764,0.08219146765282644,-4.430244794809935,9.412617932542905e-6,0.5913702475937346,0.8162141949564803
stateGuerrero,0.8802861291183641,0.08191717559004391,-1.5565511959461331,0.1195770786329678,0.7497404976205502,1.0336887139138977
stateHidalgo,0.786127512012341,0.07944756525236177,-3.028869039887253,0.0024547106637507897,0.6727158592806127,0.9185511692002908
stateJalisco,0.8394790404554663,0.07752106154761279,-2.2571126605201193,0.02400103597963018,0.7210844501755369,0.9771858594004954
stateMichoacan de Ocampo,0.7475713186358456,0.07827889638222224,-3.716526192470524,2.0198071074682992e-4,0.6411602077197136,0.8714599658291824
stateMorelos,0.8706046139897057,0.08085111016924475,-1.7138583478507656,0.08655474433136132,0.7430237045643429,1.0201540126795468
stateNayarit,0.7448383141159711,0.08142298788590578,-3.617996831578017,2.968920301881292e-4,0.6349268861443462,0.8736949468630839
stateNuevo Leon,0.9828654097624727,0.09096631370006689,-0.18999435446928853,0.8493135544380682,0.8226900094327404,1.1752634864227727
stateOaxaca,0.8752030974603656,0.0789897608511123,-1.6875517375749856,0.09149731037917705,0.7496369275667922,1.0217466446956507
statePuebla,0.8460556080363292,0.07426577916321868,-2.250972020764425,0.024387309543239515,0.7313259077696084,0.9784939845064423
stateQueretaro,0.7554531529006859,0.07887318798189484,-3.555549286653809,3.7719022411624527e-4,0.6471773991729451,0.8816913213531018
stateQuintana Roo,0.8675141187899381,0.08399364294073043,-1.6920743886733842,0.09063179100299702,0.7359202053588795,1.0229339713251417
stateSan Luis Potosi,0.7928702849438445,0.08189440104230078,-2.8340844169506902,0.004595719007217711,0.6752750711497659,0.9309367272907092
stateSinaloa,0.8481714396822582,0.08174181422353345,-2.0145441565167292,0.04395243374749397,0.7226203480378652,0.9956122883622953
stateSonora,1.09393673832579,0.08634743184128786,1.0397862957315591,0.29843919741819075,0.9239229849025103,1.2961793812672793
stateTabasco,0.6896648562784856,0.08174318972381155,-4.5453268484216,5.485007208831814e-6,0.5875098352037834,0.8094616622123473
stateTamaulipas,0.6798494914008707,0.0877305614017403,-4.3985110242094745,1.0899609106054542e-5,0.5724391343339064,0.8074402637621132
stateTlaxcala,0.9828038618206926,0.08088528885636778,-0.21444825358973138,0.8301975158631839,0.8387879348110772,1.151793424748163
stateVeracruz de Ignacio de la Llave,1.027609925327875,0.0823739893728243,0.33063404068182295,0.7409209302701936,0.8745237760906283,1.2078972882734957
stateYucatan,0.9879255978774026,0.0826796781163572,-0.14692715475862486,0.8831895181218249,0.8402468621740381,1.1619464161316269
stateZacatecas,0.7768971853331339,0.07975912276120957,-3.1651208192732785,0.0015501856674577364,0.6644180061402454,0.9083302419704263
