year,GRA,n,norm,pct
2016,0,2585,1392,53.849129593810446
2016,1,2390,1570,65.69037656903765
2016,2,3649,2283,62.56508632502055
2016,3,18471,11521,62.373450273401545
2016,4,3125,1881,60.192
2016,5,2177,1304,59.89894350022968
2016,6,6009,3576,59.510733899151276
2016,7,31,20,64.51612903225806
2016,8,168,100,59.523809523809526
2016,9,5,1,20
2021,0,1914,835,43.62591431556949
2021,1,1921,1123,58.45913586673608
2021,2,3257,1877,57.62972060178078
2021,3,17819,10422,58.48813064706212
2021,4,3248,1762,54.248768472906406
2021,5,2392,1310,54.76588628762542
2021,6,5007,2668,53.28540043938486
2021,7,36,20,55.55555555555556
2021,8,62,32,51.61290322580645
