grupo_edad,P1_4_9,GRA_bin,delta_pp,lower_pp,upper_pp,p.value,p_adj_BH
60-79,No,No,6.455514341664742,4.491991245725618,8.419037437603865,1.1650864053486626e-10,1.6311209674881278e-9
60-79,Yes,No,6.397909404105695,4.326433196066163,8.469385612145228,1.417359892356638e-9,9.921519246496466e-9
<20,No,No,4.296147723112121,1.539257523633777,7.053037922590463,0.0022560681131241897,0.004512136226248379
<20,Yes,No,5.035681437359327,2.001904796055123,8.06945807866353,0.0011407713604966653,0.002457046007223587
20-29,No,No,5.459798519577416,3.767080544616376,7.152516494538457,2.5854971300622245e-10,2.413130654724743e-9
20-29,Yes,No,5.510578120931364,3.861749036513318,7.15940720534941,5.7372774365956015e-11,1.6064376822467684e-9
30-39,No,No,4.7881368874197525,3.1278688994785697,6.448404875360936,1.5818011060944447e-8,7.381738495107409e-8
30-39,Yes,No,4.882695746152899,3.269732342037436,6.495659150268361,2.9722877172461748e-9,1.6644811216578576e-8
40-49,No,No,4.4442735077186155,2.6006295307509175,6.287917484686314,2.304852584161428e-6,6.453587235651998e-6
40-49,Yes,No,4.351638708788746,2.6543490005292494,6.048928417048244,5.031631270107954e-7,2.0126525080431816e-6
50-59,No,No,3.846982905772828,1.8573494750511714,5.836616336494484,1.5087995701341145e-4,3.520532330312934e-4
50-59,Yes,No,3.8556507904613015,1.9071110424822642,5.804190538440339,1.0520781619225183e-4,2.678017139439137e-4
>80,No,No,13.7009407325608,8.136242025573893,19.265639439547712,1.3953957792313425e-6,4.341231313164177e-6
>80,Yes,No,13.379735008314059,7.963622738649488,18.795847277978627,1.2866030055992454e-6,4.341231313164177e-6
60-79,No,Yes,3.29567812495839,-12.113207428153194,18.704563678069974,0.6750697062525575,0.8782817018961421
60-79,Yes,Yes,3.327178000182002,-12.072642490701165,18.72699849106517,0.6719624683374282,0.8782817018961421
<20,No,Yes,2.659593901894736,-10.413075764247544,15.732263568037016,0.6900784800612545,0.8782817018961421
<20,Yes,Yes,2.8167823017737517,-10.596104378316918,16.22966898186442,0.6806300242325285,0.8782817018961421
20-29,No,Yes,3.3347704846968473,-11.110894222311046,17.78043519170474,0.6509403936902841,0.8782817018961421
20-29,Yes,Yes,3.19257827595964,-10.330187547432265,16.715344099351544,0.6435606149794415,0.8782817018961421
30-39,No,Yes,2.2499542167213726,-12.66721478037345,17.167123213816197,0.7675194926354653,0.8954394080747096
30-39,Yes,Yes,2.211826308276393,-12.096796271195634,16.520448887748422,0.7619118443354957,0.8954394080747096
40-49,No,Yes,1.5359785777322832,-13.855276793942217,16.927233949406784,0.8449266605012913,0.9099210190013906
40-49,Yes,Yes,1.5097065070463378,-13.166683578779272,16.186096592871948,0.8402182507725569,0.9099210190013906
50-59,No,Yes,0.7880223235214368,-14.713112483959446,16.28915713100232,0.9206320672828419,0.9206320672828419
50-59,Yes,Yes,0.8127195355133565,-14.333296347045051,15.958735418071765,0.9162412018424066,0.9206320672828419
>80,No,Yes,10.361530687450704,-5.335507373014736,26.058568747916144,0.19574773866228523,0.3555245369291509
>80,Yes,Yes,10.521883582281506,-5.68302725623584,26.72679442079885,0.2031568782452291,0.3555245369291509
